"","2023-06-01_2023-06-14","2023-06-15_2023-06-28","2023-06-29_2023-07-12","2023-07-13_2023-07-26","2023-07-27_2023-08-09","2023-08-10_2023-08-15"
"YELL-110__SESS_2023",0,1,0,0,0,0
"YELL-125__SESS_2023",1,1,1,0,0,0
"YELL-131__SESS_2023",0,0,0,0,0,0
"YELL-150__SESS_2023",0,0,0,0,1,0
"YELL-151__SESS_2023",0,0,0,0,0,0
"YELL-182__SESS_2023",0,0,0,0,0,0
"YELL-187__SESS_2023",0,0,0,0,0,0
"YELL-211__SESS_2023",0,0,0,0,0,0
"YELL-217__SESS_2023",0,0,0,0,0,0
"YELL-223__SESS_2023",0,0,NA,NA,NA,NA
"YWM__SESS_2023",0,0,0,0,0,0
