"","2023-06-01_2023-06-14","2023-06-15_2023-06-28","2023-06-29_2023-07-12","2023-07-13_2023-07-26","2023-07-27_2023-08-09","2023-08-10_2023-08-15"
"MISO-206__SESS_2023",14,14,14,13.5,NA,NA
"MUSH-011__SESS_2023",14,14,14,14,14,6
"MUSH-023__SESS_2023",14,14,14,14,14,6
"MUSH-060__SESS_2023",14,10.5,NA,NA,NA,NA
"MUSH-071__SESS_2023",14,14,14,14,14,6
"MUSH-124__SESS_2023",14,14,14,14,14,6
"MUSH-169__SESS_2023",14,14,14,14,14,6
"MUSH-171__SESS_2023",14,14,14,14,14,6
"MUSH-183__SESS_2023",14,14,14,14,14,6
"MUSH-202__SESS_2023",14,14,14,8.5,NA,NA
"MUSH-216__SESS_2023",14,14,14,14,14,6
"PRD__SESS_2023",14,14,14,14,14,5
"ROB__SESS_2023",42,42,42,42,42,13.75
"SNO__SESS_2023",42,42,42,42,42,18
"XSS__SESS_2023",28,28,28,28,27.75,5
"YELL-011__SESS_2023",14,14,14,14,14,0.75
"YELL-019__SESS_2023",14,14,14,14,14,6
"YELL-024__SESS_2023",14,14,14,14,14,6
"YELL-030__SESS_2023",14,14,14,14,14,6
"YELL-032__SESS_2023",14,14,14,14,14,6
"YELL-039__SESS_2023",14,14,14,14,14,6
"YELL-050__SESS_2023",14,14,14,14,14,6
"YELL-055__SESS_2023",14,14,14,14,14,6
"YELL-060__SESS_2023",14,14,14,14,14,0.75
"YELL-090__SESS_2023",14,14,14,14,14,2
"YELL-100__SESS_2023",14,14,14,14,14,6
"YELL-110__SESS_2023",14,14,14,14,14,6
"YELL-125__SESS_2023",14,14,14,14,14,6
"YELL-131__SESS_2023",14,14,14,14,14,6
"YELL-150__SESS_2023",14,14,14,14,14,1
"YELL-151__SESS_2023",14,14,14,14,14,6
"YELL-182__SESS_2023",14,14,14,14,14,6
"YELL-187__SESS_2023",14,14,14,14,14,6
"YELL-211__SESS_2023",14,14,14,14,14,6
"YELL-217__SESS_2023",14,14,14,14,14,6
"YELL-223__SESS_2023",14,8.75,NA,NA,NA,NA
"YWM__SESS_2023",42,42,42,42,42,12.25
